# Generated from xorgproto keysym headers by scripts/generate-keysyms.
# The bundled table keeps runtime conversion and validation independent of development headers.
0	30
1	31
2	32
3	33
3270_AltCursor	-
3270_Attn	-
3270_BackTab	-
3270_ChangeScreen	-
3270_Copy	-
3270_CursorBlink	-
3270_CursorSelect	-
3270_DeleteWord	-
3270_Duplicate	-
3270_Enter	-
3270_EraseEOF	-
3270_EraseInput	-
3270_ExSelect	-
3270_FieldMark	-
3270_Ident	-
3270_Jump	-
3270_KeyClick	-
3270_Left2	-
3270_PA1	-
3270_PA2	-
3270_PA3	-
3270_Play	-
3270_PrintScreen	-
3270_Quit	-
3270_Record	-
3270_Reset	-
3270_Right2	-
3270_Rule	-
3270_Setup	-
3270_Test	-
4	34
5	35
6	36
7	37
8	38
9	39
A	41
AE	c6
Aacute	c1
Abelowdot	1ea0
Abreve	102
Abreveacute	1eae
Abrevebelowdot	1eb6
Abrevegrave	1eb0
Abrevehook	1eb2
Abrevetilde	1eb4
AccessX_Enable	-
AccessX_Feedback_Enable	-
Acircumflex	c2
Acircumflexacute	1ea4
Acircumflexbelowdot	1eac
Acircumflexgrave	1ea6
Acircumflexhook	1ea8
Acircumflextilde	1eaa
Adiaeresis	c4
Agrave	c0
Ahook	1ea2
Alt_L	-
Alt_R	-
Amacron	100
Aogonek	104
Arabic_0	660
Arabic_1	661
Arabic_2	662
Arabic_3	663
Arabic_4	664
Arabic_5	665
Arabic_6	666
Arabic_7	667
Arabic_8	668
Arabic_9	669
Arabic_ain	639
Arabic_alef	627
Arabic_alefmaksura	649
Arabic_beh	628
Arabic_comma	60c
Arabic_dad	636
Arabic_dal	62f
Arabic_damma	64f
Arabic_dammatan	64c
Arabic_ddal	688
Arabic_farsi_yeh	6cc
Arabic_fatha	64e
Arabic_fathatan	64b
Arabic_feh	641
Arabic_fullstop	6d4
Arabic_gaf	6af
Arabic_ghain	63a
Arabic_ha	647
Arabic_hah	62d
Arabic_hamza	621
Arabic_hamza_above	654
Arabic_hamza_below	655
Arabic_hamzaonalef	623
Arabic_hamzaonwaw	624
Arabic_hamzaonyeh	626
Arabic_hamzaunderalef	625
Arabic_heh	647
Arabic_heh_doachashmee	6be
Arabic_heh_goal	6c1
Arabic_jeem	62c
Arabic_jeh	698
Arabic_kaf	643
Arabic_kasra	650
Arabic_kasratan	64d
Arabic_keheh	6a9
Arabic_khah	62e
Arabic_lam	644
Arabic_madda_above	653
Arabic_maddaonalef	622
Arabic_meem	645
Arabic_noon	646
Arabic_noon_ghunna	6ba
Arabic_peh	67e
Arabic_percent	66a
Arabic_qaf	642
Arabic_question_mark	61f
Arabic_ra	631
Arabic_rreh	691
Arabic_sad	635
Arabic_seen	633
Arabic_semicolon	61b
Arabic_shadda	651
Arabic_sheen	634
Arabic_sukun	652
Arabic_superscript_alef	670
Arabic_switch	-
Arabic_tah	637
Arabic_tatweel	640
Arabic_tcheh	686
Arabic_teh	62a
Arabic_tehmarbuta	629
Arabic_thal	630
Arabic_theh	62b
Arabic_tteh	679
Arabic_veh	6a4
Arabic_waw	648
Arabic_yeh	64a
Arabic_yeh_baree	6d2
Arabic_zah	638
Arabic_zain	632
Aring	c5
Armenian_AT	538
Armenian_AYB	531
Armenian_BEN	532
Armenian_CHA	549
Armenian_DA	534
Armenian_DZA	541
Armenian_E	537
Armenian_FE	556
Armenian_GHAT	542
Armenian_GIM	533
Armenian_HI	545
Armenian_HO	540
Armenian_INI	53b
Armenian_JE	54b
Armenian_KE	554
Armenian_KEN	53f
Armenian_KHE	53d
Armenian_LYUN	53c
Armenian_MEN	544
Armenian_NU	546
Armenian_O	555
Armenian_PE	54a
Armenian_PYUR	553
Armenian_RA	54c
